facility_name,street1,city,postal_code,country,latitude,longitude,phone
Chinatown Public Health Center,1490 Mason Street,San Francisco,94133,United States,37.797205,-122.411792,(415) 364-7934
Southeast Health Center,2401 Keith Street,San Francisco,94124,United States,37.72572,-122.391891,(415) 671-7000
Ocean Park Health Center,1351 24th Avenue,San Francisco,94122,United States,37.762305,-122.482581,(415) 682-1950
Maxine Hall Health Center,1301 Pierce Street,San Francisco,94115,United States,37.7823,-122.436084,(415) 292-1300
Potrero Hill Health Center,1050 Wisconsin Street,San Francisco,94107,United States,37.754,-122.398838,(415) 648-3022
Newtown Pharmacy,28-04 31st Street,Astoria,11102,,,,
Walgreens Drug Store,84-20  Broadway,Queens,11373,,,,
Homecrest Clinic,1601 AVENUE S,BROOKLYN,11229,,,,
Medcare Health Inc.,260 Kings Highway,Brooklyn,11223,,,,
Duane Reade,949 3RD AVE,NEW YORK,10022,,,,
Duane Reade,10309 LIBERTY AVE,OZONE PARK,11417,,,,
Drugs Care Pharmacy,1001 Church Avenue,Brooklyn,11218,,,,
Duane Reade,22 W 48TH ST,NEW YORK,10036,,,,
Kmart Pharamcy,66-26 metropolitan Avenue,Middle Village,11379,,,,
Walgreens Drug Store,1511 86th Street,Brooklyn,11228,,,,
Washington Hts HC *Special Event*,600 West 168th Street,MANHATTAN,10032,,,,
Duane Reade,253 W 72ND ST,NEW YORK,10023,,,,
Rite Aid Pharmacy,32-14  31st Street,Queens,11106,,,,
Rite Aid Pharmacy,81 1st Avenue,Manhattan,10003,,,,
Rite Aid Pharmacy,153-65 Cross Island Pkwy,Queens,11357,,,,
Tower Chemists,1292 1st Avenue,Manhattan,10021,,,,
Rite Aid Pharmacy,1720 Kings Highway,Brooklyn,11229,,,,
Duane Reade,37 BROADWAY,NEW YORK,10006,,,,
CVS,859 MANHATTAN AVE.,BROOKLYN,11222,,,,
Rite Aid Pharmacy,2577 Nostrand  Avenue,Brooklyn,11210,,,,
CVS,81 EIGHTH AVE.,NEW YORK,10011,,,,
Walgreens Drug Store,159-34 Jamaica Avenue,Queens,11432,,,,
Rite Aid Pharmacy,2748 East Tremont Avenue,Bronx,10461,,,,
Walgreens Drug Store,1134 East New York Avenue,Brooklyn,11212,,,,
Stop and Shop Pharmacy,1710 Avenue Y,Brooklyn,11235,,,,
Rite Aid Pharmacy,2007 86th Street,Brooklyn,11214,,,,
VNS Pharmacy (Neighboorhood Drug Store),93-05 63rd Drive,Rego Park,11374,,,,
Rite Aid Pharmacy,32-87  Steinway Street,Queens,11103,,,,
Cumberland Diagnostic and Treatment Center,100 NORTH PORTLAND AVENUE,BROOKLYN,11205,,,,
Rite Aid Pharmacy,1535 2nd Avenue,Manhattan,10075,,,,
Mellor's Drug Streetore,3343 Fulton Street,Brooklyn,11208,,,,
Melrose Houses ,348 EAST 156 STREET,BRONX,10451,,,,
Walgreens Drug Store,1371 Metropolitan Avenue,Bronx,10462,,,,
Duane Reade,756 MYRTLE AVE,BROOKLYN,11206,,,,
Duane Reade,23001 MERRICK BLVD,LAURELTON,11413,,,,
The Health Center at Tremont ,1826 ARTHUR AVENUE,BRONX,10457,,,,
Duane Reade,245 1st Ave.,NEW YORK,10003,,,,
Advantagecare Physicans Medical Office,206-20 LINDEN BOULEVARD,206-20 LINDEN BOULEVARD,11411,,,,
Rite Aid Pharmacy,2064 Mill Avenue,Brooklyn,11234,,,,
Rite Aid Pharmacy,4123 Avenue D,Brooklyn,11203,,,,
Duane Reade,1052-1055 1ST AVE,NEW YORK,10022,,,,
Walgreens Drug Store,1161 Victory Blvd.,Staten Island,10301,,,,
Advantagecare Physicans Medical Office,180-05 HILLSIDE AVENUE,180-05 HILLSIDE AVENUE,11432,,,,
CVS,4112 AVENUE U,BROOKLYN,11234,,,,
Auburndale Pharmacy,192-15 47th Avenue,Flushing,11358,,,,
Preferred Pharmacy-Brooklyn,1771 Broadway,Brooklyn,11207,,,,
Rite Aid Pharmacy,95-14  63rd Drive,Queens,11374,,,,
Duane Reade,459 BROADWAY,NEW YORK,10013,,,,
CVS,1396 SECOND AVENUE,NEW YORK,10021,,,,
Rite Aid Pharmacy,1419 Newkirk Avenue,Brooklyn,11226,,,,
CVS,630 LEXINGTON AVENUE,NEW YORK,10022,,,,
Advantagecare Physicans Medical Office,1000 CHURCH AVENUE,1000 CHURCH AVENUE,11218,,,,
Duane Reade,100 BROADWAY,NEW YORK,10005,,,,
Duane Reade,230 PARK AVE,NEW YORK,10169,,,,
Walgreens Drug Store,2190-91 Richmond Avenue,Staten Island,10314,,,,
Walgreens Drug Store,1973 Forest Avenue,Staten Island,10303,,,,
CVS,3681 BRUCKNER BLVD.,BRONX,10461,,,,
Rite Aid Pharmacy,60-36  Myrtle Avenue,Queens,11385,,,,
Duane Reade,2148 BROADWAY,NEW YORK,10023,,,,
Rite Aid Pharmacy,1033 St. Nicholas Ave,Manhattan,10032,,,,
Bushwick Communicare ,335 CENTRAL AVENUE,BROOKLYN,11221,,,,
CVS,250 PAGE AVE.,STATEN ISLAND,10307,,,,
Rite Aid Pharmacy,120 Court Street,Brooklyn,11201,,,,
CVS,139 FLATBUSH AVE,BROOKLYN,11217,,,,
Joseph Pharmacy,216 West 72nd Street.,Manhattan,10023,,,,
Gunhill Center,1012 EAST GUNHILL ROAD,BRONX,10469,,,,
Duane Reade,260 MADISON AVE,NEW YORK,10016,,,,
Rite Aid Pharmacy,2170 Frederick Douglass Blvd,Manhattan,10026,,,,
Duane Reade,2108 3RD AVE,NEW YORK,10029,,,,
Tomasetti Drug Corp (Neergaard Pharmacy),120 7th Avenue,Brooklyn,11215,,,,
CVS,815 HUTCHINSON RIVER PKWY,BRONX,10465,,,,
Duane Reade,5423 2ND AVE,BROOKLYN,11220,,,,
CVS,4065 AMBOY ROAD,STATEN ISLAND,10308,,,,
Duane Reade,10716 71ST AVE,FOREST HILLS,11375,,,,
Duane Reade,55 E 55TH ST,NEW YORK,10022,,,,
Family Pharmacy Solutions,890 Garrison Avenue,Bronx,10474,,,,
CVS,1654 RICHMOND AVE,STATEN ISLAND,10314,,,,
Judson Health Center,34 SPRING STREET,MANHATTAN,10012,,,,
CVS,1569 FIRST AVENUE,NEW YORK,10028,,,,
Duane Reade,535 5TH AVE,NEW YORK,10017,,,,
Duane Reade,1598 UNION TPKE,NEW HYDE PARK,11040,,,,
Duane Reade,3506 BROADWAY,ASTORIA,11106,,,,
Duane Reade,3766 82ND ST,JACKSON HEIGHTS,11372,,,,
Rite Aid Pharmacy,541 West 235th Street,Bronx,10463,,,,
Rite Aid Pharmacy,925 Soundview Avenue,Bronx,10473,,,,
Duane Reade,49 E 52ND ST,NEW YORK,10022,,,,
Duane Reade,"310 E. 2nd St.,",NEW YORK,10009,,,,
