facility_name,facility_id,facility_type,street1,street2,city,state,postal_code,country,latitude,longitude,phone,contact,url,begin_date,end_date,begin_time,end_time,eligibility,documents,cost,currency_code,notes,file_start_date,file_end_date
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/12/2013 12:00:00 AM,10/12/2013 12:00:00 AM,08:30:00-0500,11:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/12/2013 12:00:00 AM,10/12/2013 12:00:00 AM,13:30:00-0500,16:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/18/2013 12:00:00 AM,10/18/2013 12:00:00 AM,13:30:00-0500,16:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/25/2013 12:00:00 AM,10/25/2013 12:00:00 AM,13:30:00-0500,16:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/19/2013 12:00:00 AM,10/19/2013 12:00:00 AM,08:30:00-0500,11:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/19/2013 12:00:00 AM,10/19/2013 12:00:00 AM,13:30:00-0500,16:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/26/2013 12:00:00 AM,10/26/2013 12:00:00 AM,08:30:00-0500,11:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/26/2013 12:00:00 AM,10/26/2013 12:00:00 AM,13:30:00-0500,16:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/18/2013 12:00:00 AM,10/18/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/21/2013 12:00:00 AM,10/21/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/23/2013 12:00:00 AM,10/23/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/25/2013 12:00:00 AM,10/25/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/28/2013 12:00:00 AM,10/28/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/30/2013 12:00:00 AM,10/30/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/01/2013 12:00:00 AM,11/01/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/04/2013 12:00:00 AM,11/04/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/06/2013 12:00:00 AM,11/06/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/08/2013 12:00:00 AM,11/08/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/11/2013 12:00:00 AM,11/11/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/13/2013 12:00:00 AM,11/13/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
